"Population by age, sex and year"

"age" "sex" "1860" "1861" "1862" "1863" "1864" "1865" "1866" "1867" "1868" "1869" "1870" "1871" "1872" "1873" "1874" "1875" "1876" "1877" "1878" "1879" "1880" "1881" "1882" "1883" "1884" "1885" "1886" "1887" "1888" "1889" "1890" "1891" "1892" "1893" "1894" "1895" "1896" "1897" "1898" "1899" "1900" "1901" "1902" "1903" "1904" "1905" "1906" "1907" "1908" "1909" "1910" "1911" "1912" "1913" "1914" "1915" "1916" "1917" "1918" "1919" "1920" "1921" "1922" "1923" "1924" "1925" "1926" "1927" "1928" "1929" "1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015" "2016" "2017" "2018" "2019" "2020"
"38 years" "men" 26926 28252 26844 28472 27213 24330 25603 27055 25737 23429 24720 27041 26825 26329 24990 24048 22744 23699 26003 24363 25677 25149 26467 24879 23631 23923 24883 26917 25782 25613 24191 25557 27886 26124 25694 26366 29070 29354 29029 27345 28671 29809 29792 29439 29990 26938 23887 27024 28173 30429 29568 30602 31075 32847 32940 34489 33518 35178 34108 34535 34809 35159 37376 37495 38255 38868 38535 37311 38175 39639 39165 40732 41298 43278 43662 44350 45333 44897 47336 48690 49086 48681 50063 50514 52272 53376 54772 56740 55927 55798 56321 55668 54985 52637 52816 53076 51972 52082 62913 58580 54050 53469 51649 50845 48817 47547 47891 46129 46626 45766 45722 43923 44207 45105 46394 47702 49825 51892 51370 53751 60562 65672 69909 70220 70228 68651 67338 64806 62575 59790 60177 60549 58667 59757 61303 60115 59678 59677 58540 59574 61542 64703 69310 69569 69263 68522 64522 62129 62994 65178 65289 64383 65651 63295 61568 61504 61383 64107 66751 65114 67003
"38 years" "women" 28631 29703 28466 30011 28949 25659 27804 28994 27489 24935 26574 29343 29535 29041 27835 26487 25694 26566 28644 27540 28924 28032 29374 27901 26092 26595 27902 30032 28837 28305 27006 28535 31161 28891 29095 30193 32780 33210 32933 30675 32380 33181 33566 32835 32915 30155 27122 29520 30215 32146 31665 32589 33232 34384 34653 36229 35875 37447 36367 36333 37005 37731 39531 39596 40600 41700 41337 40574 41619 42615 41761 43073 43716 45033 45216 45489 46655 46100 48771 49280 49871 49398 50214 51395 52078 52930 54185 55566 54025 54016 54972 54165 54168 51908 51676 52073 51150 50782 61554 57600 53393 52317 51267 50110 48389 46763 47483 45452 46250 45080 44782 42455 42840 42939 44802 45468 47424 49316 48026 50612 56490 61916 65440 66369 67005 65912 65359 62795 59783 57586 57826 58010 56298 57670 58071 58324 56902 56779 56440 56961 58625 61182 66365 66076 65902 65296 62573 59944 61296 63138 63368 62579 63619 61303 59288 58845 58908 61249 63801 62423 63136
"39 years" "men" 25953 26650 27987 26570 28157 26907 23988 25270 26582 25211 22930 24376 26721 26478 25987 24711 23883 22542 23504 25722 24323 25200 24693 26153 24635 23423 23625 24467 26519 25477 25393 23872 25211 27528 25963 25469 26115 28848 29157 28779 26981 28435 29465 29452 29191 29736 26731 23702 26839 27936 29839 29308 30398 30740 32561 32665 34288 33364 34742 33892 34328 34639 34929 37018 37319 37880 38525 38344 37121 37987 39545 39006 40692 41236 43198 43570 44168 45149 44748 47230 48508 48979 48512 49891 50422 52310 53483 54881 56727 55839 55601 56245 55554 54813 52516 52762 53034 51981 52015 62764 58398 54025 53395 51567 50855 48842 47569 47776 46006 46812 45907 45583 43630 43978 45003 46335 47622 49776 51763 51285 53634 60408 65501 69727 70088 70045 68476 67284 64821 62733 59868 60158 60502 58761 59972 61138 59978 59576 59615 58477 59641 61595 64788 69287 69559 69253 68782 64924 62475 63352 65299 65513 64659 66041 63888 62109 62275 62043 64708 67217 65202
"39 years" "women" 27062 28388 29414 28222 29728 28669 25356 27523 28579 27045 24984 26256 29031 29222 28690 27518 26296 25470 26340 28386 27201 28527 27621 29059 27626 25813 26321 27565 29667 28535 28057 26694 28202 30830 28653 28854 29949 32539 32957 32638 30552 32149 32877 33281 32596 32663 29934 26935 29302 29994 32059 31418 32377 33033 34156 34421 36061 35659 37049 36131 36113 36784 37525 39311 39412 40327 41462 41094 40401 41436 42322 41591 42955 43471 44949 45073 45322 46496 45981 48647 49129 49772 49263 50131 51329 52069 52996 54228 55591 53936 53992 54973 54117 54040 51865 51641 52005 51128 50740 61444 57469 53372 52266 51219 50108 48422 46788 47466 45457 46358 45198 44745 42323 42731 42897 44822 45460 47437 49302 47991 50593 56435 61833 65372 66341 66938 65905 65377 62878 59930 57693 57861 58032 56464 57974 58077 58270 56864 56870 56472 57040 58771 61304 66476 66167 66053 65594 62856 60308 61754 63453 63647 62929 64028 61759 59722 59506 59582 61855 64318 62616
"40 years" "men" 23475 25666 26364 27708 26251 27814 26526 23655 24806 26028 24257 22601 24084 26363 26091 25649 24502 23665 22348 23249 25177 23875 24766 24363 25884 24396 23133 23229 24118 26212 25265 25075 23537 24903 27358 25728 25249 25901 28636 28923 28467 26783 28106 29139 29241 28900 29478 26522 23531 26588 27562 29579 29107 30101 30492 32299 32501 34132 32999 34501 33884 34136 34442 34637 36805 36965 37634 38276 38161 36910 37836 39398 38905 40651 41118 43058 43412 43979 44995 44639 47211 48448 48821 48333 49803 50412 52387 53527 54848 56611 55651 55519 56135 55397 54667 52444 52724 52984 51900 51891 62468 58265 53915 53290 51532 50887 48827 47459 47668 46117 46952 45762 45299 43390 43858 44898 46264 47549 49673 51644 51110 53452 60261 65317 69559 69967 69915 68372 67301 64882 62806 59847 60107 60586 58972 59832 60982 59860 59451 59496 58485 59677 61649 64913 69279 69609 69481 69069 65140 62786 63567 65536 65707 64953 66529 64301 62848 62854 62516 65148 67402
"40 years" "women" 24783 26803 28109 29153 27940 29426 28327 25090 27114 28106 26531 24677 25968 28714 28877 28386 27332 26081 25258 26077 27936 26795 28106 27325 28772 27351 25561 26004 27245 29366 28306 27746 26406 27915 30599 28409 28635 29709 32296 32684 32446 30283 31892 32572 32986 32314 32441 29732 26777 29072 29830 31830 31206 32161 32823 33906 34244 35858 35302 36829 35781 35911 36583 37300 39058 39147 40102 41234 40927 40217 41154 42233 41511 42829 43368 44804 44867 45170 46353 45873 48524 49028 49651 49147 50058 51329 52176 53010 54238 55516 53915 53928 54912 54002 53982 51840 51593 51995 51102 50675 61267 57444 53342 52219 51215 50141 48424 46742 47418 45540 46433 45172 44634 42227 42716 42879 44798 45459 47415 49265 47907 50545 56381 61750 65286 66298 66898 65900 65446 62969 60059 57730 57876 58152 56762 57937 58064 58244 56841 56883 56624 57195 58893 61437 66576 66300 66284 65822 63172 60716 62050 63717 63972 63266 64433 62161 60254 60163 60119 62291 64551
"41 years" "men" 22332 23212 25386 26084 27401 25923 27439 26171 23190 24280 25035 23922 22315 23764 25979 25742 25431 24295 23446 22119 22995 24728 23490 24433 24103 25621 24103 22764 22868 23826 25925 24913 24746 23255 24742 27110 25489 25038 25698 28351 28661 28179 26530 27813 28919 28932 28628 29247 26342 23335 26256 27321 29345 28814 29846 30253 32135 32347 33771 32814 34465 33703 33957 34156 34453 36513 36705 37472 38089 37970 36733 37713 39304 38914 40490 40969 42875 43235 43814 44892 44586 47134 48247 48660 48244 49776 50484 52402 53485 54724 56377 55597 55390 55975 55272 54622 52383 52663 52889 51791 51720 62330 58153 53820 53266 51546 50860 48720 47318 47747 46190 46787 45477 45029 43286 43741 44821 46195 47430 49515 51499 50919 53301 60093 65184 69415 69800 69830 68362 67357 64921 62763 59763 60127 60721 58848 59697 60867 59775 59341 59539 58618 59764 61657 64884 69227 69807 69797 69208 65436 62942 63774 65763 66017 65490 67023 65049 63394 63259 62908 65217
"41 years" "women" 23650 24533 26543 27842 28872 27642 29076 28040 24720 26668 27487 26229 24427 25675 28381 28567 28208 27135 25857 25014 25940 27564 26393 27805 27045 28493 27085 25261 25691 26961 29081 27967 27417 26125 27711 30323 28189 28424 29499 32020 32559 32205 30030 31634 32333 32732 32087 32190 29491 26628 28942 29586 31582 30972 31938 32574 33732 34031 35490 35059 36706 35562 35677 36374 37077 38795 38928 39889 41037 40750 40029 41014 42133 41345 42710 43269 44651 44718 45040 46252 45809 48421 48873 49559 49057 50077 51358 52135 53052 54176 55466 53833 53846 54796 53910 53958 51784 51563 51953 51002 50389 61253 57388 53299 52204 51207 50153 48389 46688 47510 45646 46379 45056 44556 42198 42691 42890 44796 45435 47364 49200 47860 50500 56325 61718 65246 66264 66901 65948 65532 63080 60077 57703 58025 58360 56763 57923 58005 58290 56851 56962 56758 57315 59050 61549 66635 66506 66509 66141 63555 60897 62323 64001 64348 63611 64873 62680 60791 60699 60497 62488
"42 years" "men" 22442 22078 22936 25098 25778 27090 25557 27076 25716 22682 23552 24702 23643 22017 23454 25650 25518 25213 24048 23196 21985 22562 24355 23169 24179 23835 25312 23699 22426 22638 23604 25593 24616 24480 23082 24503 26852 25252 24804 25482 28060 28432 27879 26248 27564 28669 28702 28376 29005 26082 23149 26056 27121 29067 28606 29569 30098 31965 31984 33553 32813 34305 33479 33651 33977 34148 36242 36500 37221 37882 37741 36616 37585 39250 38775 40314 40793 42706 43096 43688 44797 44493 46929 48065 48509 48218 49826 50442 52400 53365 54580 56303 55475 55234 55835 55201 54541 52327 52575 52742 51545 51629 62203 58045 53772 53283 51500 50755 48625 47349 47804 46043 46492 45261 44860 43209 43621 44720 46084 47307 49322 51347 50727 53134 59943 64983 69248 69683 69800 68409 67352 64831 62662 59676 60284 60571 58685 59539 60793 59681 59334 59555 58642 59692 61579 64900 69345 69987 69947 69359 65544 63080 63964 66035 66433 65852 67683 65491 63806 63645 63037
"42 years" "women" 23892 23417 24272 26280 27568 28579 27303 28768 27668 24321 26163 27164 25967 24154 25358 28069 28391 27983 26901 25614 24778 25600 27180 26084 27539 26791 28215 26785 24959 25420 26928 28751 27640 27126 25917 27493 30120 27977 28224 29250 31765 32288 31945 29762 31396 32027 32474 31843 31943 29270 26526 28706 29415 31336 30751 31684 32397 33503 33699 35232 34846 36466 35348 35435 36188 36787 38580 38710 39669 40844 40443 39802 40887 41885 41190 42522 43092 44465 44577 44906 46161 45678 48264 48726 49481 49044 50101 51284 52139 52966 54045 55406 53769 53723 54700 53877 53894 51770 51500 51846 50850 50345 61171 57355 53286 52196 51195 50088 48307 46748 47584 45609 46259 44917 44507 42168 42679 42867 44791 45396 47313 49106 47847 50452 56276 61695 65200 66237 66923 65986 65580 63051 60080 57770 58206 58310 56729 57863 57987 58282 56960 57062 56917 57389 59099 61586 66836 66737 66792 66507 63813 61184 62574 64301 64725 64000 65474 63208 61239 61100 60667
"43 years" "men" 21072 22179 21800 22650 24785 25477 26706 25193 26593 25168 22208 23234 24409 23347 21712 23128 25416 25251 24943 23777 22927 21577 22196 24035 22904 23889 23542 24889 23338 22156 22453 23310 25255 24308 24303 22858 24248 26601 25031 24606 25343 27811 28142 27584 26020 27323 28405 28461 28164 28726 25956 22930 25844 26866 28783 28376 29426 29927 31594 31766 33453 32650 34066 33213 33439 33683 33910 35974 36339 37049 37670 37612 36499 37473 39075 38612 40148 40589 42506 42910 43660 44715 44301 46739 47942 48412 48281 49801 50376 52270 53126 54430 56177 55281 55100 55749 55086 54457 52217 52444 52541 51470 51497 62072 58004 53733 53213 51310 50632 48668 47398 47632 45757 46251 45118 44800 43134 43507 44600 45918 47127 49129 51163 50547 52974 59813 64787 69110 69616 69825 68364 67258 64676 62646 59719 60069 60437 58533 59447 60676 59663 59294 59590 58662 59679 61549 65088 69487 70109 70120 69419 65686 63192 64284 66449 66894 66374 68126 65851 64138 63748
"43 years" "women" 22883 23657 23152 24037 26021 27287 28240 26977 28386 27240 24014 25838 26876 25690 23860 25080 27902 28147 27750 26655 25317 24462 25244 26874 25810 27307 26525 27915 26473 24713 25248 26645 28456 27362 26917 25715 27258 29888 27732 27981 29073 31503 31982 31686 29526 31122 31789 32209 31559 31686 29149 26327 28502 29195 31087 30491 31539 32185 33174 33501 35079 34631 36250 35102 35228 35941 36616 38385 38519 39468 40551 40327 39619 40620 41758 41017 42306 42901 44297 44435 44858 46047 45536 48174 48607 49499 49028 50046 51247 52051 52941 54025 55264 53635 53615 54663 53797 53838 51705 51378 51727 50799 50277 61114 57291 53265 52175 51139 50027 48339 46821 47516 45503 46169 44864 44456 42146 42668 42817 44753 45340 47243 49041 47786 50378 56237 61622 65175 66276 66970 66044 65516 62998 60139 57895 58201 58240 56689 57846 58004 58285 57053 57133 56979 57458 59193 61852 67013 66964 67075 66689 64029 61425 62909 64606 65084 64495 65995 63585 61538 61281
"44 years" "men" 21813 20799 21909 21531 22374 24486 25093 26321 24699 26027 24289 21897 22941 24108 22985 21394 22916 25154 24994 24661 23475 22522 21233 21891 23777 22607 23593 23194 24524 23077 21976 22185 23000 24972 24097 24060 22598 24009 26321 24777 24443 25108 27522 27854 27300 25746 27095 28132 28278 27865 28546 25721 22748 25601 26617 28498 28196 29218 29601 31383 31702 33265 32440 33780 32996 33098 33436 33722 35787 36083 36915 37506 37494 36374 37314 38906 38412 39922 40372 42326 42809 43573 44519 44087 46634 47918 48543 48246 49740 50239 52084 53004 54294 55997 55110 54944 55606 55019 54321 52091 52223 52447 51314 51377 61972 57926 53629 53072 51163 50633 48688 47181 47380 45504 46076 45029 44700 43024 43320 44477 45760 46974 48992 51002 50402 52839 59669 64665 69035 69590 69729 68232 67087 64642 62732 59538 59915 60247 58431 59338 60670 59661 59320 59591 58620 59669 61666 65250 69590 70229 70115 69517 65873 63400 64664 66798 67451 66786 68483 66103 64211
"44 years" "women" 23747 22658 23414 22935 23808 25772 26968 27934 26582 27928 26748 23722 25572 26586 25398 23597 24919 27680 27917 27501 26348 25008 24148 24967 26587 25566 27039 26228 27596 26199 24477 24975 26372 28167 27131 26700 25520 27022 29641 27493 27748 28832 31230 31706 31428 29268 30896 31531 31990 31293 31582 28901 26134 28316 28972 30852 30305 31312 31873 32969 33220 34867 34395 35997 34912 34988 35750 36387 38148 38327 39221 40382 40189 39453 40492 41550 40833 42126 42713 44134 44165 44723 45891 45397 48067 48618 49438 49013 50030 51146 51950 52816 53944 55147 53534 53543 54542 53758 53746 51577 51186 51650 50715 50183 61029 57233 53206 52105 51065 50019 48386 46744 47383 45385 46105 44782 44424 42150 42609 42760 44671 45289 47191 48971 47742 50289 56181 61575 65143 66313 66955 65993 65451 63035 60275 57860 58124 58188 56706 57811 58041 58341 57127 57197 57042 57496 59397 62016 67187 67277 67190 66867 64225 61686 63174 64958 65508 64867 66279 63895 61633
"45 years" "men" 20525 21519 20736 21633 21256 22066 24101 24673 25842 24120 25118 23947 21604 22607 23739 22664 21185 22668 24907 24700 24160 23057 22152 20938 21640 23478 22317 23254 22864 24239 22815 21705 21920 22734 24762 23835 23811 22373 23768 26061 24590 24225 24850 27211 27590 27029 25475 26840 27887 28013 27697 28309 25510 22496 25421 26398 28300 27999 28906 29415 31320 31511 33056 32161 33526 32682 32820 33185 33515 35538 35924 36667 37354 37338 36188 37206 38687 38235 39745 40221 42217 42701 43351 44290 43929 46525 47838 48449 48134 49589 49966 51957 52840 54100 55798 55002 54773 55489 54892 54137 51863 52092 52299 51167 51270 61903 57841 53487 52901 51166 50586 48454 46929 47143 45341 45933 44885 44577 42858 43210 44293 45591 46772 48820 50836 50273 52651 59518 64605 68972 69472 69565 68018 66986 64653 62561 59390 59769 60118 58304 59303 60596 59636 59284 59564 58555 59757 61813 65308 69650 70231 70172 69612 66064 63745 65017 67252 67842 67096 68709 66107
"45 years" "women" 22763 23508 22407 23208 22696 23561 25457 26674 27559 26132 27451 26452 23473 25297 26290 25131 23430 24715 27455 27663 27110 26004 24688 23889 24708 26339 25287 26759 25932 27314 26076 24186 24688 26102 27944 26901 26467 25319 26803 29359 27397 27516 28571 30958 31438 31153 29067 30646 31311 31761 31153 31309 28691 25920 28105 28776 30685 30034 31015 31657 32704 33001 34638 34168 35770 34674 34776 35494 36152 37946 38080 39003 40202 39882 39294 40273 41354 40674 41956 42551 43953 44007 44552 45752 45301 48033 48542 49418 48963 49899 51057 51839 52683 53780 55025 53447 53442 54460 53693 53631 51331 51116 51587 50615 50127 60997 57193 53135 51994 51051 50018 48263 46621 47276 45311 46080 44761 44400 42105 42558 42721 44615 45257 47114 48899 47699 50238 56109 61515 65147 66277 66899 65898 65421 63125 60232 57765 58067 58136 56659 57852 58052 58448 57181 57229 57107 57644 59570 62226 67405 67397 67383 67024 64499 61929 63449 65359 65858 65186 66563 64008
"46 years" "men" 18279 20239 21226 20452 21335 20959 21711 23690 24205 25256 23314 24748 23626 21270 22245 23405 22447 20928 22424 24628 24466 23726 22686 21838 20682 21349 23169 22013 22923 22569 23953 22521 21406 21628 22536 24454 23558 23568 22130 23520 25833 24313 23955 24568 26950 27284 26746 25250 26619 27628 27806 27424 28063 25248 22303 25178 26232 28115 27711 28696 29407 31142 31261 32737 31969 33183 32414 32595 32985 33278 35415 35780 36500 37186 37162 35987 37024 38450 38032 39564 40002 42089 42477 43135 44107 43888 46495 47782 48345 47957 49330 49813 51759 52640 53889 55664 54846 54643 55326 54661 53836 51724 51913 52123 51028 51147 61749 57668 53265 52811 51088 50384 48141 46694 46962 45170 45770 44718 44420 42691 43013 44075 45417 46607 48670 50669 50052 52528 59420 64547 68865 69281 69314 67879 66928 64440 62377 59248 59595 59960 58237 59275 60604 59608 59190 59458 58700 59865 61846 65460 69629 70229 70232 69752 66353 64020 65397 67519 68161 67293 68811
"46 years" "women" 20079 22532 23240 22210 22958 22460 23269 25159 26303 27132 25644 27151 26187 23210 25023 26022 24961 23224 24490 27190 27281 26755 25659 24406 23651 24454 26076 25008 26454 25648 27057 25799 23890 24432 25888 27704 26647 26291 25111 26576 29126 27182 27243 28325 30711 31151 30915 28820 30399 31063 31621 30925 31078 28476 25737 27877 28608 30469 29726 30767 31434 32476 32769 34404 33950 35500 34477 34553 35285 35930 37661 37842 38857 39938 39724 39061 40061 41145 40490 41787 42356 43792 43829 44396 45607 45191 47955 48462 49350 48812 49761 50959 51706 52542 53666 54904 53313 53355 54325 53565 53364 51235 51044 51478 50545 50044 60909 57128 53018 52006 51054 49939 48111 46510 47205 45256 46026 44717 44318 42049 42500 42624 44523 45171 47052 48855 47623 50204 56089 61507 65103 66204 66790 65894 65450 63048 60112 57667 58011 58100 56682 57908 58113 58471 57206 57221 57251 57789 59772 62377 67557 67526 67516 67194 64715 62199 63848 65698 66180 65385 66653
"47 years" "men" 15620 18023 19952 20939 20134 21035 20628 21336 23239 23641 24414 22946 24417 23274 20888 21892 23194 22196 20694 22164 24149 24031 23372 22351 21550 20401 21039 22804 21660 22633 22409 23639 22175 21142 21420 22262 24187 23319 23330 21872 23351 25573 24039 23673 24313 26635 26984 26489 25000 26343 27424 27548 27184 27828 25008 22089 24992 26049 27807 27514 28506 29232 30929 30999 32525 31655 32895 32166 32395 32755 33135 35116 35615 36388 36977 36995 35761 36772 38233 37882 39410 39842 41890 42220 42952 43981 43770 46377 47652 48131 47704 49171 49649 51540 52411 53768 55450 54703 54497 55145 54361 53678 51551 51740 51997 50891 51013 61444 57409 53154 52716 50873 50079 47893 46460 46824 44958 45630 44557 44221 42475 42790 43895 45210 46425 48479 50467 49918 52416 59358 64368 68653 69051 69124 67822 66720 64241 62126 59054 59475 59869 58151 59214 60531 59496 59118 59456 58787 59891 61913 65398 69610 70267 70370 69945 66594 64393 65717 67733 68359 67353
